date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:33:31	557/557	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Sep%202020%2014:33:43%20GMT	https://herfybd.com/robots.txt		(from )
08:33:31	229178/229178	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2014:33:43%20GMT	https://herfybd.com/	C:/My%20Web%20Sites/https___herfybd.com_/herfybd.com/index.html	(from )
08:33:32	2818/2818	---M--	200	added ('OK')	image/x-icon	date:Wed,%2010%20Oct%202018%2012:09:40%20GMT	https://herfybd.com/assets/image/favicon.ico	C:/My%20Web%20Sites/https___herfybd.com_/herfybd.com/assets/image/favicon.ico	(from https://herfybd.com/)
08:33:32	31000/31000	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Oct%202018%2004:43:50%20GMT	https://herfybd.com/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/https___herfybd.com_/herfybd.com/assets/css/font-awesome.min.css	(from https://herfybd.com/)
08:33:33	1683/1683	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Oct%202018%2012:09:38%20GMT	https://herfybd.com/assets/css/stylesce.css	C:/My%20Web%20Sites/https___herfybd.com_/herfybd.com/assets/css/stylesce.css	(from https://herfybd.com/)
08:33:33	50/50	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Oct%202018%2012:09:38%20GMT	https://herfybd.com/assets/css/print.css	C:/My%20Web%20Sites/https___herfybd.com_/herfybd.com/assets/css/print.css	(from https://herfybd.com/)
08:33:33	183/183	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Oct%202018%2012:09:38%20GMT	https://herfybd.com/assets/css/viewportbuggyfill.css	C:/My%20Web%20Sites/https___herfybd.com_/herfybd.com/assets/css/viewportbuggyfill.css	(from https://herfybd.com/)
08:33:33	7899/7899	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Oct%202018%2012:09:38%20GMT	https://herfybd.com/assets/css/magnificpopup.css	C:/My%20Web%20Sites/https___herfybd.com_/herfybd.com/assets/css/magnificpopup.css	(from https://herfybd.com/)
08:33:34	212/212	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Oct%202018%2012:09:38%20GMT	https://herfybd.com/assets/css/style.css	C:/My%20Web%20Sites/https___herfybd.com_/herfybd.com/assets/css/style.css	(from https://herfybd.com/)
08:33:34	2544/2544	---M--	200	added ('OK')	text/css	date:Fri,%2018%20May%202018%2013:09:46%20GMT	https://herfybd.com/assets/css/viewbox.css	C:/My%20Web%20Sites/https___herfybd.com_/herfybd.com/assets/css/viewbox.css	(from https://herfybd.com/)
